data,valor
01/01/2014,1.51
01/02/2014,0.32
01/03/2014,-0.13
01/04/2014,-0.97
01/05/2014,-0.14
01/06/2014,-0.3
01/07/2014,-0.57
01/08/2014,0.44
01/09/2014,0.98
01/10/2014,0.4
01/11/2014,0.93
01/12/2014,0.19
01/01/2015,-0.4
01/02/2015,0.72
01/03/2015,1.86
01/04/2015,0.22
01/05/2015,0
01/06/2015,0.47
01/07/2015,0.72
01/08/2015,0.96
01/09/2015,2.99
01/10/2015,1.77
01/11/2015,-0.42
01/12/2015,-0.35
01/01/2016,0.68
01/02/2016,-0.63
01/03/2016,-1.2
01/04/2016,-0.34
01/05/2016,0.9
01/06/2016,0.5
01/07/2016,-0.57
01/08/2016,-0.25
01/09/2016,0.47
01/10/2016,0.09
01/11/2016,0.8
01/12/2016,1.29
01/01/2017,0.3
01/02/2017,-0.45
01/03/2017,0.06
01/04/2017,-0.11
01/05/2017,0.1
01/06/2017,-0.2
01/07/2017,-1.01
01/08/2017,0.29
01/09/2017,1.48
01/10/2017,1.8
01/11/2017,1.4
01/12/2017,0.42
01/01/2018,0.47
01/02/2018,0.38
01/03/2018,1.08
01/04/2018,1.58
01/05/2018,2.55
01/06/2018,2.27
01/07/2018,1.13
01/08/2018,0.86
01/09/2018,2.91
01/10/2018,-0.68
01/11/2018,-1.62
01/12/2018,-1.56
01/01/2019,-0.75
01/02/2019,0.45
01/03/2019,1.59
01/04/2019,1.22
01/05/2019,1.39
01/06/2019,-1.13
01/07/2019,-1.2
01/08/2019,0.91
01/09/2019,0.5
01/10/2019,0.6
01/11/2019,0.88
01/12/2019,0.65
01/01/2020,0.35
01/02/2020,0.81
01/03/2020,0.84
01/04/2020,0.11
01/05/2020,1.16
01/06/2020,0.6
01/07/2020,3.22
01/08/2020,3.31
01/09/2020,2.34
01/10/2020,3.41
01/11/2020,1.38
01/12/2020,0.39
01/01/2021,3.55
01/02/2021,5.16
01/03/2021,4.63
01/04/2021,2.19
01/05/2021,0.99
01/06/2021,1.29
01/07/2021,1.86
01/08/2021,1.89
01/09/2021,0.25
01/10/2021,2.26
01/11/2021,1.46
01/12/2021,-0.08
01/01/2022,1.2
01/02/2022,0.54
01/03/2022,3.12
01/04/2022,2.08
01/05/2022,1.81
01/06/2022,1.01
01/07/2022,1.13
01/08/2022,-3.04
01/09/2022,-1.89
01/10/2022,-0.86
01/11/2022,-0.52
01/12/2022,-1.26
01/01/2023,0.29
01/02/2023,-0.29
01/03/2023,-0.65
01/04/2023,-0.35
01/05/2023,-2.88
01/06/2023,-2.72
01/07/2023,-0.76
01/08/2023,0.92
