"estado","populacao","UF"
"Rondônia",1777225,"RO"
"Acre",881935,"AC"
"Amazonas",4144597,"AM"
"Roraima",605761,"RR"
"Pará",8602865,"PA"
"Amapá",845731,"AP"
"Tocantins",1572866,"TO"
"Maranhão",7075181,"MA"
"Piauí",3273227,"PI"
"Ceará",9132078,"CE"
"Rio Grande do Norte",3506853,"RN"
"Paraíba",4018127,"PB"
"Pernambuco",9557071,"PE"
"Alagoas",3337357,"AL"
"Sergipe",2298696,"SE"
"Bahia",14873064,"BA"
"Minas Gerais",21168791,"MG"
"Espírito Santo",4018650,"ES"
"Rio de Janeiro",17264943,"RJ"
"São Paulo",45919049,"SP"
"Paraná",11433957,"PR"
"Santa Catarina",7164788,"SC"
"Rio Grande do Sul",11377239,"RS"
"Mato Grosso do Sul",2778986,"MS"
"Mato Grosso",3484466,"MT"
"Goiás",7018354,"GO"
"Distrito Federal",3015268,"DF"
